identifier,logFC,AveExpr,t_stat,P.Value,adj.P.Val,B,gene_name,symbol
TF~P02787,-0.41296798206279206,26.093575800569223,-4.1682136463645465,2.2012928734476816e-4,0.0020901384808280463,0.3618771268249663,TF,TF
MDH2~P40926,1.3236763298127556,11.219423195887861,4.149425950276655,2.3213897687733524e-4,0.002182561557111417,0.3110409931158289,MDH2,MDH2
F5~A0A0A0MRJ7,0.8508513951976671,12.927482197293275,4.094624450053205,2.709662272300679e-4,0.0025094371545658174,0.16312892476038243,F5,F5
EEF2~P13639,2.701869841160031,11.45072562856725,4.093091652457837,2.721391700467622e-4,0.0025094371545658174,0.15899996474504174,EEF2,EEF2
ATP5F1A~P25705,1.4028509884488596,11.115934274455093,4.067054989731459,2.9284103210099397e-4,0.002674614759855745,0.0889334080123163,ATP5F1A,ATP5F1A
TMSB10~P63313,3.346307821286448,13.258972845586198,4.034892037604718,3.2330220092874345e-4,0.0029249699121760846,-0.003891193046964503,TMSB10,TMSB10
TPM3~P06753-2,0.7750145335853169,12.372184652231818,4.01625050089949,3.3777660116420503e-4,0.00300050068430866,-0.04739785402838592,TPM3,TPM3
C1S~P09871,-0.4929212222870305,18.37843787824567,-4.016111550661681,3.379083148126541e-4,0.00300050068430866,-0.047770000619618,C1S,C1S
RPL32~D3YTB1,2.8190867790537446,9.48092745631866,3.972065398740799,3.8229729192526687e-4,0.0033635147060213848,-0.16553399688102122,RPL32,RPL32
TUBB4B~P68371,0.5361843759744342,13.321071350522741,3.947513930332012,4.094656921847847e-4,0.0035697963527746234,-0.23099615199749923,TUBB4B,TUBB4B
EZR~P15311,2.801513246253963,9.563429938730684,3.9212313259290017,4.406417468749162e-4,0.003783132590283165,-0.30092730113631294,EZR,EZR
CHL1~A0A087X0M8,-0.5176049166698959,14.829073021488442,-3.919053397204195,4.4332684839077025e-4,0.003783132590283165,-0.30671528488524924,CHL1,CHL1
MYO1C~F5H6E2,0.562960299541869,13.699415488667933,3.9170824236654638,4.457705763315929e-4,0.003783132590283165,-0.3119523515928426,MYO1C,MYO1C
RPS10~P46783,2.592881532039601,8.227390020552406,3.8560448441305173,5.283133543428071e-4,0.004418581750004255,-0.4736939311198771,RPS10,RPS10
SERPINF2~P08697,-0.3910257919272837,21.560503129136027,-3.8549915558123544,5.298612108972777e-4,0.004418581750004255,-0.47647736681106867,SERPINF2,SERPINF2
PNP~G3V5M2,1.4860059583528233,13.51356457706343,3.8510958315380814,5.356246901579991e-4,0.004428138602254493,-0.48676997228578234,PNP,PNP
IGHV3-13~P01766,-0.8345630761995046,16.621322460090678,-3.845010880570453,5.447495354386157e-4,0.004465083799022499,-0.5028393215892129,IGHV3-13,IGHV3-13
DBI~B8ZWD1,2.896801637050034,11.271170129608302,3.8154573545358503,5.912672906047902e-4,0.004805299421101641,-0.5807581613257948,DBI,DBI
HSPA12B~Q5JX83,3.0764299013328227,10.948947306253217,3.8097009731315477,6.007680416747024e-4,0.004841483629966719,-0.5959102314631783,HSPA12B,HSPA12B
HNRNPH1~E9PCY7,2.597743658590913,10.010190504651824,3.7932739084501614,6.287056156280862e-4,0.005024405711561122,-0.6391047697931711,HNRNPH1,HNRNPH1
CBR1~A8MTM1,2.9335885790089087,9.987381806327269,3.7747707637240975,6.616900614853071e-4,0.005244303875738921,-0.6876773651965093,CBR1,CBR1
PFN1~P07737,1.8280942616910085,15.739101224031348,3.7611245547257974,6.870895015732884e-4,0.005342706299821699,-0.7234443509533461,PFN1,PFN1
MYLK~A0A8I5KTQ1,2.4859921318648155,11.61845534926026,3.760438871556099,6.88390477208696e-4,0.005342706299821699,-0.7252402821445285,MYLK,MYLK
PPP2CA~A0A8V8TQA1,2.8443836083048497,8.353141058685026,3.7591621903689507,6.908191670259549e-4,0.005342706299821699,-0.7285838245072611,PPP2CA,PPP2CA
MYL6~B7Z6Z4,0.9988433102156513,14.936723197767794,3.749116591645139,7.102224340052073e-4,0.0054356532038943185,-0.7548779046146539,MYL6,MYL6
VTN~P04004,0.7463270331760548,17.204789281997503,3.747103812127701,7.141734136503485e-4,0.0054356532038943185,-0.7601431586256329,VTN,VTN
ARF1~A0A8V8TNZ0,2.0597175572367448,11.61072460530383,3.728662429491419,7.513821217321955e-4,0.005673822478276972,-0.8083349729928342,ARF1,ARF1
SPTAN1~A0A0D9SF54,0.48827054027678507,12.596209391635208,3.71639765627853,7.771648289855564e-4,0.005810318945869992,-0.8403362375553378,SPTAN1,SPTAN1
VIM~P08670,1.9210276174050822,10.200967157138798,3.712342483582906,7.85877123874587e-4,0.005810318945869992,-0.8509082095616369,VIM,VIM
PRDX1~Q06830,1.1352787171782417,14.053571501906314,3.7104214550931327,7.900373939450431e-4,0.005810318945869992,-0.8559148633914955,PRDX1,PRDX1
TYMP~A0A494C0L6,3.24746278502486,9.928442087340871,3.708741460336726,7.936932032418863e-4,0.005810318945869992,-0.8602925173559806,TYMP,TYMP
RPS20~A0A7P0S5H5,3.8819381421816344,8.87191832562342,3.700238058166514,8.124508964558857e-4,0.005878026905811745,-0.8824386790842151,RPS20,RPS20
ACTC1~P68032,0.5713560816031418,13.751465648464539,3.699007499377632,8.152008117549136e-4,0.005878026905811745,-0.8856419203396637,ACTC1,ACTC1
PRDX5~P30044,2.8091892039732755,11.203789877720858,3.6917568294118492,8.315882949380598e-4,0.005951441603325369,-0.9045076730710218,PRDX5,PRDX5
FKBP1A~P62942,2.2851933367086534,11.887645583497882,3.667263093925346,8.893469790553643e-4,0.006317657428993291,-0.968132727355071,FKBP1A,FKBP1A
COL1A1~I3L3H7,2.3329712125279105,10.398653797056204,3.646675568881034,9.408893702836439e-4,0.006634653721338342,-1.0214827594755844,COL1A1,COL1A1
ADIPOQ~Q15848,-0.8614166445856632,16.166258370913148,-3.629763465914763,9.853868537399325e-4,0.006897707976179527,-1.065219369973084,ADIPOQ,ADIPOQ
CAVIN2~O95810,2.718577101019582,8.526120384542407,3.6216517598556774,0.0010074469777023,0.007001026460989172,-1.0861683364623618,CAVIN2,CAVIN2
THBS4~E7ES19,-0.8229216353756961,13.223884773862835,-3.6046770097277774,0.001055169789108353,0.007226025577178672,-1.1299455373796068,THBS4,THBS4
GPI~A0A2U3TZU2,1.4985696355354055,13.084092551375479,3.6045273194163787,0.0010556002159021324,0.007226025577178672,-1.1303312125287368,GPI,GPI
SERPINA1~A0A0G2JRN3,-3.381439420052323,9.546717343087908,-3.602160266388376,0.0010624292037353417,0.007226025577178672,-1.1364290295416675,SERPINA1,SERPINA1
