symbol,t_stat
CCT7,1.2534373051355903
ARHGAP1,1.2523348740984523
UBE2L3,1.2514028784469793
AHCY,1.241356222959919
SLC3A2,1.2375864714582732
PROCR,1.231691869865829
RPL27A,1.2314936660186322
EIF3L,1.2195144024379299
SLC25A4,1.209683436015986
PDIA6,1.2035770156588839
PDIA3,1.1992870290317128
STOM,1.182847682639004
SPARC,1.1732966931236524
GCLC,1.1711379129437518
PRPS1,1.1696929255734194
RNPEP,1.1628298559302324
IGKV5-2,1.1588050631604891
EFTUD2,1.15417081605147
CFHR2,1.1535965410967464
ECM1,1.1422678639765194
ANP32B,1.1393217090644066
PLTP,1.1364503495443041
CFH,1.1352936273167682
GYG1,1.1270282076001534
SELENOP,1.1204702695726916
IGKV1-5,1.1203897253055095
CD36,1.117051869053143
HNRNPL,1.1112821619276074
GPX1,1.1036310466039077
LNPEP,1.1028465509419672
ITGA2B,1.099282203834061
IPO5,1.0986779764260381
BLVRB,1.0912384027280069
TLN1,1.0899911338212325
ACP1,1.0822060214310303
PSMA1,1.0818125411084223
LTBP1,1.0786184472380849
PYGL,1.0781359378158064
PSMB5,1.0654026180999192
CDKN2A,1.0643875205774695
PTMA,1.0641926542255733
FGFBP2,1.0606397786797457
GFUS,1.0540345389457015
CA2,1.0538706104172473
SAA1,1.0489350391750492
PCYOX1,1.0483994923961966
DPP3,1.0339411921210582
OTUB1,1.0277156028429069
ACE,1.0228731411978895
NAP1L1,1.0157444831207734
SERPINB6,1.0040172339020943
IGLV2-14,0.9975353407155927
SMIM1,0.9725032743980666
PSMA7,0.9715855522558318
TMOD1,0.9672430226391868
RPS3A,0.9523622581584347
ENPEP,0.9488001190716334
GCA,0.9466888484854629
CORO1C,0.9434914512480723
IGHV3-38,0.9424866946734515
LRPPRC,0.9328653690545705
RALB,0.9323733321508916
CAST,0.9253178392824996
COLEC11,0.9222128567563407
SERPINA10,0.9220316417999344
XRCC6,0.8983284662386211
MPP1,0.8950063797170815
CD58,0.8944454380260879
UBE2D3,0.8928741568986632
NUTF2,0.8852089567743423
ADGRG6,0.8798948968120578
MAPRE1,0.8713669133258579
BPIFB1,0.8687558857683881
PAFAH1B3,0.8683506221872106
MPST,0.8674051979021168
PSG11,0.8585514355507006
PAPPA,0.8515278619038389
RAB2B,0.8471249039340919
CPQ,0.8453933699722865
UGT8,0.8445027608136929
CTSG,0.8441437727368771
RAP2B,0.8258419533537187
CFL1,0.8175721243574394
DCXR,0.8141692835534774
HBD,0.8112036065745336
GPT,0.8026944069548113
ORM1,0.8014465175465234
IGHJ2,0.7963633249227602
PSG2,0.7927330639180342
C4BPB,0.7923073245181185
ELOB,0.7912220200013496
THBS1,0.7789190487808242
EPB41,0.7776203453811548
PSG5,0.7744793870255641
PLEK,0.7686365376098696
KRT8,0.7673017590006678
CRP,0.7632052670006519
DBNL,0.7629664276431827
HBG2,0.7628435246069281
TGFB1,0.7560776057557632
NAPRT,0.7493440043678622
TUBB1,0.7482012675018807
RP2,0.728956769840207
FGB,0.728830992871914
IGLV10-54,0.723493818454092
HEBP2,0.7069728138865636
MIF,0.702376816312672
LSP1,0.6994470913348234
IGHV4-31,0.6993907796301146
DDI2,0.696602937601595
ECI1,0.6927416134259081
PDCD6,0.6780448197027905
ASGR2,0.6727405547598148
HPRT1,0.6699412395902252
BASP1,0.6697369015251174
RAB1B,0.6692744637464408
CPNE1,0.6603540563414021
BCAP31,0.6595631079144402
PDIA4,0.6576636830745125
S100A12,0.651923622530585
TPM1,0.6484422432586229
LGALS1,0.643690921468554
ABI1,0.6410673894515324
ADAMDEC1,0.6407882865152233
SPP2,0.6288905162326331
C4BPA,0.617410826112157
CCT4,0.6155260318022524
NEXN,0.6097699533465245
IGLV1-51,0.5955342191456674
APOBR,0.5950124388975618
HBM,0.5869308625009257
RPS4Y1,0.5866849565167647
KIF2A,0.5780221847403142
SELENBP1,0.5693620054648928
IGHV4OR15-8,0.54949435442408
HMGN1,0.5459264012468786
PIGR,0.543124469066507
ARG1,0.5398224116887291
NAPA,0.5308868043836873
